 保护板协议说明,,,,,
数据格式:9600 8位数据 1位停止位 无校验,,,,,
支持modbus协议 3 6 16,,,"数据格式为高位在前,低位在后",,
,,,,,
地址,数据类型,读写,内容,范围,数据计算说明
0x00~0x2F,unsigned short int,R,单体电池电压，每两个字节为一个电池电压,0--5000,0.001  3550*0.001=3.550v
0x30~0x37,,R,电池温度,0--140（-40至100℃）,温度数据偏移40，例温度数据为40时 实际温度=温度数据-40；
0x38,,R,电池总电压,,0.1V   350*0.1=35.0v
0x39,,R,电流数据,0--65535,0.1A，30000 Offset，充电电流为负数，放电为正数，（30080-30000）*0.1=8A，为放电电流
0x3A,,R,SOC,0--65535,"0.001,800/1000=80%"
0x3B,,R,LIFE,0--65535,心跳包
0x3C,,R,电池数量,,
0x3D,,R,电池温度传感器数量,,
0x3E,,R,最高单体电压,0--65535,1mv
0x3F,,R,最高单体电压序号,0--65535,1
0x40,,R,最低单体电压,0--65535,1mv
0x41,,R,最低单体电压序号,0--65535,1
0x42,,R,最高最低单体电压压差,0--65535,1mv
0x43,,R,最高单体温度,0--65535,1°C，温度数据偏移40，例温度数据为40时 实际温度=温度数据-40；
0x44,,R,最高单体温度序号,0--65535,1
0x45,,R,最低单体温度,0--65535,1°C，温度数据偏移40，例温度数据为40时 实际温度=温度数据-40；
0x46,,R,最低单体温度序号,0--65535,1
0x47,,R,最高最低单体温度温差,0--65535,1°C
0x48,,R,充放电状态,0--65535,0静止，1充电，2放电
0x49,,R,充电器状态,0--65535,0：无法检测充电器 1：检测到充电器
0x4A,,R,负载状态,0--65535,0：无法检测负载 1：检测到负载
0x4B,,R,电池剩余容量,,0.1AH
0x4C,,R,电池使用循环次数,,
0x4D,,R,均衡状态,0--65535,0：关闭   1：被动均衡 2：主动均衡
0x4F~0x51,,R,均衡位置,0--65536,每个bit代表一节电池
0x52,,R,充电MOS状态,0--65535,0：关闭   1：开启
0x53,,R,放电MOS状态,0--65535,0：关闭   1：开启
